cust_id,similar_cust_id,score
C0001,C0120,0.8600527359545286
C0001,C0112,0.8469787524284421
C0001,C0118,0.8102988764756568
C0002,C0134,0.9236670826580259
C0002,C0106,0.9209160533049688
C0002,C0159,0.9131406241193735
C0003,C0031,0.9187706233462746
C0003,C0129,0.8654559910157081
C0003,C0195,0.8605918008817378
C0004,C0113,0.9292394513740887
C0004,C0104,0.8537307092182913
C0004,C0012,0.7471467512214388
C0005,C0007,0.9642811063729398
C0005,C0140,0.8490311338065334
C0005,C0186,0.8222839648276071
C0006,C0187,0.9008503673463532
C0006,C0171,0.7051966547320395
C0006,C0168,0.6843366942572472
C0007,C0005,0.9642811063729398
C0007,C0140,0.8733611879922593
C0007,C0159,0.732858523121834
C0008,C0059,0.7767745351848123
C0008,C0194,0.7705673466512221
C0008,C0098,0.7673365379062493
C0009,C0198,0.8624280540516861
C0009,C0062,0.8487880978902548
C0009,C0014,0.8168694682936181
C0010,C0062,0.8625830534525292
C0010,C0061,0.8516840592029479
C0010,C0009,0.791562964615291
C0011,C0153,0.8886993419111958
C0011,C0126,0.8669409547166775
C0011,C0171,0.8627694246710196
C0012,C0163,0.784523990914948
C0012,C0039,0.76175288712088
C0012,C0004,0.7471467512214388
C0013,C0087,0.7627836007083063
C0013,C0102,0.7541133180956652
C0013,C0099,0.753813613323051
C0014,C0060,0.835286331064081
C0014,C0009,0.8168694682936181
C0014,C0119,0.8083033693163648
C0015,C0036,0.907117144954357
C0015,C0058,0.8945475600930028
C0015,C0144,0.8591536415776413
C0016,C0183,0.992522289202599
C0016,C0067,0.8773488630989368
C0016,C0072,0.8629708929755514
C0017,C0075,0.9238669076774716
C0017,C0041,0.8753411018865551
C0017,C0057,0.8144946314299196
C0018,C0117,0.8148817183470786
C0018,C0046,0.7354744102179943
C0018,C0050,0.7317697191753656
C0019,C0070,0.7863137876210402
C0019,C0121,0.7773496728590557
C0019,C0064,0.6971881316579916
C0020,C0050,0.8561944558995866
C0020,C0144,0.83177556257944
C0020,C0015,0.815803386251265
C0021,C0101,0.9188381911456287
C0021,C0090,0.8316796903398491
C0021,C0173,0.8133832717144062
C0022,C0200,0.9006928995474953
C0022,C0145,0.8896498101880485
C0022,C0143,0.8884068811666208
C0023,C0070,0.8268007798775454
C0023,C0064,0.6843310722875016
C0023,C0019,0.6729274745485686
C0024,C0116,0.8818993297211783
C0024,C0194,0.8715287865883405
C0024,C0098,0.8477337412515494
C0025,C0071,0.8739262428900304
C0025,C0083,0.8297220347677622
C0025,C0150,0.7633145829317517
C0026,C0117,0.861804470752088
C0026,C0050,0.8271585097256929
C0026,C0183,0.8154096972928478
C0027,C0193,0.8012615049003066
C0027,C0142,0.8007820452629564
C0027,C0088,0.7695858940615989
C0028,C0054,0.9404859944489394
C0028,C0101,0.8803132077280863
C0028,C0021,0.7981876398976043
C0029,C0176,0.8589076405838697
C0029,C0094,0.7773814633189359
C0029,C0042,0.7702728114203586
C0030,C0034,0.8798313155294871
C0030,C0024,0.7961058098101144
C0030,C0098,0.7687026881292962
C0031,C0003,0.9187706233462746
C0031,C0076,0.849037287652838
C0031,C0151,0.8420155266863778
C0032,C0077,0.9180772997660496
C0032,C0151,0.8932614238856744
C0032,C0130,0.7835489247747416
C0033,C0058,0.9657752479285232
C0033,C0015,0.831410170740421
C0033,C0144,0.8313480047227065
C0034,C0030,0.8798313155294871
C0034,C0049,0.8545497428906699
C0034,C0067,0.7540797290240139
C0035,C0055,0.9337587533582034
C0035,C0154,0.8723524137212647
C0035,C0157,0.8429027397757204
C0036,C0144,0.9581093962095281
C0036,C0015,0.907117144954357
C0036,C0058,0.8601262159706151
C0037,C0100,0.8612308775092405
C0037,C0179,0.7997573422991692
C0037,C0170,0.7686088522539798
C0038,C0160,0.9966679838898517
C0038,C0131,0.7993284120842807
C0038,C0139,0.7337347066813285
C0039,C0048,0.8614553134933289
C0039,C0181,0.856590789771488
C0039,C0190,0.8415695497346944
C0040,C0200,0.7818461906024899
